Date,Open,High,Low,Close,Volume
18-Mar-08,214.28,220.20,212.55,219.36,-
17-Mar-08,213.78,216.64,205.85,209.73,-
14-Mar-08,221.27,224.45,215.09,218.74,-
13-Mar-08,216.12,223.27,214.18,221.28,-
12-Mar-08,219.78,223.72,218.82,219.87,-
11-Mar-08,212.42,219.85,212.11,219.70,-
10-Mar-08,214.20,215.28,206.31,206.60,-
7-Mar-08,214.23,219.78,212.91,216.46,-
6-Mar-08,223.62,226.42,215.37,216.13,-
5-Mar-08,222.40,226.86,221.78,223.63,-
4-Mar-08,225.25,226.45,217.67,222.08,-
3-Mar-08,235.52,236.12,224.83,228.28,-
29-Feb-08,235.70,239.63,232.09,235.35,-
28-Feb-08,235.01,239.31,233.45,237.46,-
27-Feb-08,229.83,237.51,229.59,236.19,-
26-Feb-08,230.37,233.00,223.20,231.86,-
25-Feb-08,252.72,253.00,242.63,242.98,-
22-Feb-08,250.78,254.25,248.53,253.65,-
21-Feb-08,256.17,256.35,249.50,251.18,-
20-Feb-08,251.50,255.25,249.16,254.25,-
19-Feb-08,267.20,267.26,253.00,254.22,-
15-Feb-08,263.89,266.06,261.90,264.56,-
14-Feb-08,268.91,270.25,265.23,265.86,-
13-Feb-08,260.99,267.23,259.09,267.04,-
12-Feb-08,261.43,265.03,256.26,258.79,-
11-Feb-08,260.00,261.59,256.44,260.32,-
8-Feb-08,254.45,258.61,254.10,258.09,-
7-Feb-08,248.18,256.84,247.13,252.22,-
6-Feb-08,255.31,255.33,248.72,250.60,-
5-Feb-08,244.47,254.25,244.02,253.15,-
4-Feb-08,254.28,256.13,246.03,247.47,-
1-Feb-08,264.07,268.07,254.74,257.69,-
31-Jan-08,269.24,286.21,266.88,281.87,-
30-Jan-08,274.32,279.93,271.48,273.86,-
29-Jan-08,279.95,280.38,270.06,274.98,-
28-Jan-08,285.20,285.83,274.03,277.71,-
25-Jan-08,295.61,297.20,282.81,282.92,-
24-Jan-08,279.12,289.56,276.79,286.96,-
23-Jan-08,280.07,283.72,259.24,274.04,-
22-Jan-08,280.73,298.45,280.32,291.88,-
18-Jan-08,303.88,304.69,298.93,299.82,-
17-Jan-08,310.07,312.56,298.71,300.09,-
16-Jan-08,314.17,319.68,300.66,307.67,-
15-Jan-08,322.78,324.20,317.37,318.51,-
14-Jan-08,325.24,328.37,322.30,326.58,-
11-Jan-08,321.03,324.41,314.74,318.81,-
10-Jan-08,322.18,328.27,319.73,323.04,-
9-Jan-08,314.70,326.34,310.94,326.27,-
8-Jan-08,326.17,329.65,315.18,315.52,-
7-Jan-08,326.64,330.81,318.36,324.30,-
4-Jan-08,339.51,340.14,327.17,328.17,-
3-Jan-08,342.29,343.08,337.92,342.32,-
2-Jan-08,346.09,348.34,338.53,342.25,-
31-Dec-07,348.94,350.89,344.94,345.39,-
28-Dec-07,352.11,353.62,347.92,350.91,-
27-Dec-07,353.18,357.64,350.02,350.02,-
26-Dec-07,349.15,356.25,348.76,355.06,-
24-Dec-07,347.15,350.01,346.18,350.01,-
21-Dec-07,348.59,349.28,346.27,348.00,-
20-Dec-07,342.57,345.15,339.96,344.50,-
19-Dec-07,336.77,339.41,334.17,338.35,-
18-Dec-07,336.74,338.02,325.92,336.34,-
17-Dec-07,343.66,347.36,331.50,334.28,-
14-Dec-07,343.41,349.50,343.29,344.64,-
